Food code,Main food description,WWEIA number,WWEIA description,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Fiber (g),Total Fat (g),Water (g)
11000000,"Milk, human",9602,Human milk,70,1.03,6.89,6.89,0,4.38,87.5
11100000,"Milk, NFS",1004,"Milk, reduced fat",52,3.33,4.83,4.88,0,2.14,88.92
11111000,"Milk, whole",1002,"Milk, whole",61,3.27,4.63,4.81,0,3.2,88.1
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",50,3.36,4.9,4.89,0,1.9,89.1
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",43,3.38,5.18,4.96,0,0.95,89.7
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",34,3.43,4.92,5.05,0,0.08,90.8
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",43,3.38,5.18,4.96,0,0.95,89.7
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",34,3.43,4.92,5.05,0,0.08,90.8
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",50,3.36,4.9,4.89,0,1.9,89.1
11114350,"Milk, lactose free, whole",1002,"Milk, whole",61,3.27,4.63,4.81,0,3.2,88.1
11115000,"Buttermilk, fat free (skim)",1008,"Milk, nonfat",40,3.31,4.79,4.79,0,1.07,90.13
11115300,"Buttermilk, whole",1002,"Milk, whole",62,3.21,4.88,4.88,0,3.31,87.91
11115400,"Kefir, NS as to fat content",1006,"Milk, lowfat",52,3.59,7.48,6.91,0,0.96,87.26
11116000,"Goat's milk, whole",1002,"Milk, whole",69,3.56,4.45,4.45,0,4.14,87.03
11120000,"Milk, dry, reconstituted, NS as to fat content",1008,"Milk, nonfat",32,3.2,4.6,4.6,0,0.07,91.34
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole",76,4.01,5.86,5.86,0,4.08,85.04
11121210,"Milk, dry, reconstituted, low fat (1%)",1006,"Milk, lowfat",40,3.17,4.55,4.55,0,1.01,90.48
11121300,"Milk, dry, reconstituted, fat free (skim)",1008,"Milk, nonfat",32,3.2,4.6,4.6,0,0.07,91.34
11210050,"Milk, evaporated, NS as to fat content",1002,"Milk, whole",134,6.81,10.04,10.04,0,7.56,74.04
11211050,"Milk, evaporated, whole",1002,"Milk, whole",134,6.81,10.04,10.04,0,7.56,74.04
11211400,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat",92,7.42,11.15,11.15,0,1.96,78
11212050,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat",78,7.55,11.35,11.35,0,0.2,79.4
11220000,"Milk, condensed, sweetened",1202,"Flavored milk, whole",321,7.91,54.4,54.4,0,8.7,27.16
11300100,"Non-dairy milk, NFS",1404,Milk substitutes,29,1.14,3.14,2.52,0.1,1.34,93.87
11320000,Soy milk,1404,Milk substitutes,53,3.41,5.22,4.53,0,2.05,88.7
11320100,"Soy milk, light",1404,Milk substitutes,38,3.55,1.29,0.56,0,2.12,92.4
11320200,"Soy milk, nonfat",1404,Milk substitutes,38,3.55,1.29,0.56,0,2.12,92.4
11321000,"Soy milk, chocolate",1404,Milk substitutes,64,3.35,8.32,7.49,0.1,2.03,85.68
11321100,"Soy milk, light, chocolate",1404,Milk substitutes,39,3.6,1.46,0.56,0.1,2.15,92.13
11350000,"Almond milk, sweetened",1404,Milk substitutes,30,0.53,4.31,3.99,0,1.18,93.5
11350010,"Almond milk, sweetened, chocolate",1404,Milk substitutes,43,0.57,7.44,6.97,0.1,1.2,90.32
11350020,"Almond milk, unsweetened",1404,Milk substitutes,15,0.55,0.34,0,0,1.22,97.4
11350030,"Almond milk, unsweetened, chocolate",1404,Milk substitutes,16,0.61,0.51,0,0.1,1.26,97.12
11360000,Rice milk,1404,Milk substitutes,47,0.28,9.17,5.28,0.3,0.97,89.28
11370000,Coconut milk,1404,Milk substitutes,31,0.21,2.92,2.5,0,2.08,94.57
11400000,"Yogurt, NFS",1820,"Yogurt, regular",63,5.25,7.04,7.04,0,1.55,85.06
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek",73,9.95,3.94,3.56,0,1.92,83.56
11410000,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular",63,5.25,7.04,7.04,0,1.55,85.06
11411010,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular",63,5.25,7.04,7.04,0,1.55,85.06
11411100,"Yogurt, whole milk, plain",1820,"Yogurt, regular",61,3.47,4.66,4.66,0,3.25,87.89
11411200,"Yogurt, low fat milk, plain",1820,"Yogurt, regular",63,5.25,7.04,7.04,0,1.55,85.06
11411300,"Yogurt, nonfat milk, plain",1820,"Yogurt, regular",56,5.73,7.68,7.68,0,0.18,85.22
11411390,"Yogurt, Greek, NS as to type of milk, plain",1822,"Yogurt, Greek",73,9.95,3.94,3.56,0,1.92,83.56
11411400,"Yogurt, Greek, whole milk, plain",1822,"Yogurt, Greek",97,9,3.98,4,0,5,81.3
11411410,"Yogurt, Greek, low fat milk, plain",1822,"Yogurt, Greek",73,9.95,3.94,3.56,0,1.92,83.56
11411420,"Yogurt, Greek, nonfat milk, plain",1822,"Yogurt, Greek",59,10.3,3.64,3.27,0,0.37,85
11430000,"Yogurt, NS as to type of milk, fruit",1820,"Yogurt, regular",89,4.66,14.46,12.01,0.1,1.37,78.51
11431000,"Yogurt, whole milk, fruit",1820,"Yogurt, regular",87,3.1,12.36,9.92,0.1,2.87,81
11432000,"Yogurt, low fat milk, fruit",1820,"Yogurt, regular",89,4.66,14.46,12.01,0.1,1.37,78.51
11433000,"Yogurt, nonfat milk, fruit",1820,"Yogurt, regular",83,5.09,15.02,12.58,0.1,0.17,78.65
11433990,"Yogurt, Greek, NS as to type of milk, fruit",1822,"Yogurt, Greek",105,8.17,12.29,11.23,1,2.57,76.41
11434000,"Yogurt, Greek, whole milk, fruit",1822,"Yogurt, Greek",106,7.33,12.29,12,0,3,76.81
11434010,"Yogurt, Greek, low fat milk, fruit",1822,"Yogurt, Greek",105,8.17,12.29,11.23,1,2.57,76.41
11434020,"Yogurt, Greek, nonfat milk, fruit",1822,"Yogurt, Greek",82,8.06,12.2,11.5,0.6,0.15,79
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1820,"Yogurt, regular",73,5.09,9.82,9.82,0,1.51,82.51
11434100,"Yogurt, whole milk, flavors other than fruit",1820,"Yogurt, regular",78,3.3,9.41,9.42,0,3.1,83.5
11434200,"Yogurt, low fat milk, flavors other than fruit",1820,"Yogurt, regular",73,5.09,9.82,9.82,0,1.51,82.51
11434300,"Yogurt, nonfat milk, flavors other than fruit",1820,"Yogurt, regular",66,5.56,10.44,10.44,0,0.18,82.66
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1822,"Yogurt, Greek",95,8.64,9.54,9.54,0,2.5,78.76
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1822,"Yogurt, Greek",111,8.47,9.35,9.35,0,4.44,77.19
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1822,"Yogurt, Greek",95,8.64,9.54,9.54,0,2.5,78.76
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1822,"Yogurt, Greek",78,8.64,10.37,9.54,0.5,0.18,80.26
11435100,"Yogurt, Greek, with oats",1822,"Yogurt, Greek",160,8.88,21.1,12.08,1.5,4.6,64.61
11436000,"Yogurt, liquid",1820,"Yogurt, regular",72,3.71,11.81,9.78,0.1,1.09,82.57
11440010,"Chipotle dip, yogurt based",8412,"Dips, gravies, other sauces",189,7.93,3.33,2.97,0,15.99,70.61
11440030,"Onion dip, yogurt based",8412,"Dips, gravies, other sauces",160,6.82,4.06,3.38,0.2,12.91,74.4
11440040,"Ranch dip, yogurt based",8412,"Dips, gravies, other sauces",195,8.48,4.13,3.41,0.3,16.09,69
11440050,"Spinach dip, yogurt based",8412,"Dips, gravies, other sauces",159,7.02,3.59,3.04,0.3,12.96,74.53
11440060,Tzatziki dip,8412,"Dips, gravies, other sauces",93,5.35,3.92,2.92,0.2,6.31,83.12
11440070,"Vegetable dip, yogurt based",8412,"Dips, gravies, other sauces",191,8.16,3.76,2.99,0.3,16.03,69.81
11446000,"Yogurt parfait, low fat, with fruit",1820,"Yogurt, regular",84,3.36,15.86,11.68,1.1,1.01,78.97
11459990,"Frozen yogurt, NFS",5802,Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,71.2
11460000,"Frozen yogurt, vanilla",5802,Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,71.2
11460100,"Frozen yogurt, chocolate",5802,Ice cream and frozen dairy desserts,131,3,21.6,19.24,2.3,3.6,71.2
11460500,"Frozen yogurt, soft serve, vanilla",5802,Ice cream and frozen dairy desserts,159,4,24.2,24,0,5.6,65.3
11460510,"Frozen yogurt, soft serve, chocolate",5802,Ice cream and frozen dairy desserts,160,4.31,24.87,23.56,0.7,5.76,64.05
11461200,Frozen yogurt sandwich,5802,Ice cream and frozen dairy desserts,204,3.9,34.38,24.3,0.8,6.25,54.52
11461210,"Frozen yogurt bar, vanilla",5802,Ice cream and frozen dairy desserts,127,3,21.6,19.92,0,3.6,71.2
11461220,"Frozen yogurt bar, chocolate",5802,Ice cream and frozen dairy desserts,131,3,21.6,19.24,2.3,3.6,71.2
11461250,"Frozen yogurt cone, chocolate",5802,Ice cream and frozen dairy desserts,142,3.2,23.9,18.71,2.3,3.73,68.56
11461260,"Frozen yogurt cone, vanilla",5802,Ice cream and frozen dairy desserts,139,3.2,23.9,19.36,0.1,3.73,68.56
11461300,"Frozen yogurt cone, vanilla, waffle cone",5802,Ice cream and frozen dairy desserts,143,3.29,25.28,20.26,0.1,3.61,67.19
11461320,"Frozen yogurt cone, chocolate, waffle cone",5802,Ice cream and frozen dairy desserts,147,3.29,25.28,19.62,2.3,3.61,67.19
11480000,"Baby Toddler food, NFS",9007,Baby food: mixtures,75,4.9,9.08,4.47,1.1,2.15,83.24
11480010,"Baby Toddler yogurt, plain",9010,Baby food: yogurt,61,3.47,4.66,4.66,0,3.25,87.89
11480100,"Baby Toddler yogurt, with fruit",9010,Baby food: yogurt,83,3.16,11.08,9.04,0.1,2.93,82.15
11511000,"Chocolate milk, NFS",1208,"Flavored milk, nonfat",67,3.39,13.46,8.39,0,0,82.34
11511100,"Chocolate milk, ready to drink, whole",1202,"Flavored milk, whole",83,3.17,10.34,9.54,0.8,3.39,82.3
11511200,"Chocolate milk, ready to drink, reduced fat",1204,"Flavored milk, reduced fat",76,2.99,12.13,9.55,0.7,1.9,82.17
11511300,"Chocolate milk, ready to drink, fat free",1208,"Flavored milk, nonfat",67,3.39,13.46,8.39,0,0,82.34
11511400,"Chocolate milk, ready to drink, low fat",1206,"Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,84.5
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",1206,"Flavored milk, lowfat",57,3.43,7.68,7.29,0,1.04,87.09
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",1206,"Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,84.5
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",1206,"Flavored milk, lowfat",64,3.46,10.15,9.94,0.1,1.11,84.5
11512010,"Hot chocolate / Cocoa, ready to drink",1204,"Flavored milk, reduced fat",91,2.73,16.53,15.18,0,1.54,78.43
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",1208,"Flavored milk, nonfat",78,2.79,16.55,15.31,0,0.06,79.81
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1404,Milk substitutes,80,1.27,16.3,14.31,0.1,1.08,80.73
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",1204,"Flavored milk, reduced fat",103,2.74,15.88,14.6,0,3.18,77.44
11513100,"Chocolate milk, made from dry mix with whole milk",1202,"Flavored milk, whole",82,3.35,9.9,9.55,0.3,3.14,82.75
11513150,"Chocolate milk, made from dry mix with reduced fat milk",1204,"Flavored milk, reduced fat",72,3.43,10.15,9.62,0.3,1.92,83.68
11513300,"Chocolate milk, made from dry mix with fat free milk",1208,"Flavored milk, nonfat",57,3.5,10.17,9.77,0.3,0.22,85.28
11513310,"Chocolate milk, made from dry mix with non-dairy milk",1404,Milk substitutes,59,1.75,9.89,8.62,0.4,1.38,86.34
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1204,"Flavored milk, reduced fat",74,3.41,10.09,9.62,0.3,2.15,83.52
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)",1202,"Flavored milk, whole",82,3.35,9.9,9.55,0.3,3.14,82.75
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1204,"Flavored milk, reduced fat",72,3.43,10.15,9.62,0.3,1.92,83.68
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",1206,"Flavored milk, lowfat",65,3.45,10.42,9.69,0.3,1.03,84.25
